qr,qr,qr,qr,qr
-8.835528373718262,-8.835528373718262,-8.835528373718262,-8.835528373718262,-8.835528373718262
-8.89015007019043,-8.89015007019043,-8.89015007019043,-8.89015007019043,-8.89015007019043
-8.944917678833008,-8.944917678833008,-8.944917678833008,-8.944917678833008,-8.944917678833008
-8.999833106994629,-8.999833106994629,-8.999833106994629,-8.999833106994629,-8.999833106994629
-9.054898262023926,-9.054898262023926,-9.054898262023926,-9.054898262023926,-9.054898262023926
-9.110116004943848,-9.110116004943848,-9.110116004943848,-9.110116004943848,-9.110116004943848
-9.165487289428711,-9.165487289428711,-9.165487289428711,-9.165487289428711,-9.165487289428711
-9.221016883850098,-9.221016883850098,-9.221016883850098,-9.221016883850098,-9.221016883850098
-9.27670669555664,-9.27670669555664,-9.27670669555664,-9.27670669555664,-9.27670669555664
-9.332559585571289,-9.332559585571289,-9.332559585571289,-9.332559585571289,-9.332559585571289
-9.388577461242676,-9.388577461242676,-9.388577461242676,-9.388577461242676,-9.388577461242676
-9.4447660446167,-9.4447660446167,-9.4447660446167,-9.4447660446167,-9.4447660446167
-9.501126289367676,-9.501126289367676,-9.501126289367676,-9.501126289367676,-9.501126289367676
-9.557662963867188,-9.557662963867188,-9.557662963867188,-9.557662963867188,-9.557662963867188
-9.6143798828125,-9.6143798828125,-9.6143798828125,-9.6143798828125,-9.6143798828125
-9.671279907226562,-9.671279907226562,-9.671279907226562,-9.671279907226562,-9.671279907226562
-9.728367805480957,-9.728367805480957,-9.728367805480957,-9.728367805480957,-9.728367805480957
-9.785648345947266,-9.785648345947266,-9.785648345947266,-9.785648345947266,-9.785648345947266
-9.84312629699707,-9.84312629699707,-9.84312629699707,-9.84312629699707,-9.84312629699707
-9.900805473327637,-9.900805473327637,-9.900805473327637,-9.900805473327637,-9.900805473327637
-9.958690643310547,-9.958690643310547,-9.958690643310547,-9.958690643310547,-9.958690643310547
-10.016788482666016,-10.016788482666016,-10.016788482666016,-10.016788482666016,-10.016788482666016
-10.075102806091309,-10.075102806091309,-10.075102806091309,-10.075102806091309,-10.075102806091309
-10.133639335632324,-10.133639335632324,-10.133639335632324,-10.133639335632324,-10.133639335632324
-10.192404747009277,-10.192404747009277,-10.192404747009277,-10.192404747009277,-10.192404747009277
-10.25140380859375,-10.25140380859375,-10.25140380859375,-10.25140380859375,-10.25140380859375
-10.310643196105957,-10.310643196105957,-10.310643196105957,-10.310643196105957,-10.310643196105957
-10.37012767791748,-10.37012767791748,-10.37012767791748,-10.37012767791748,-10.37012767791748
-10.429865837097168,-10.429865837097168,-10.429865837097168,-10.429865837097168,-10.429865837097168
-10.489861488342285,-10.489861488342285,-10.489861488342285,-10.489861488342285,-10.489861488342285
-10.550122261047363,-10.550122261047363,-10.550122261047363,-10.550122261047363,-10.550122261047363
-10.6106538772583,-10.6106538772583,-10.6106538772583,-10.6106538772583,-10.6106538772583
-10.671462059020996,-10.671462059020996,-10.671462059020996,-10.671462059020996,-10.671462059020996
-10.73255443572998,-10.73255443572998,-10.73255443572998,-10.73255443572998,-10.73255443572998
-10.793936729431152,-10.793936729431152,-10.793936729431152,-10.793936729431152,-10.793936729431152
-10.855615615844727,-10.855615615844727,-10.855615615844727,-10.855615615844727,-10.855615615844727
-10.917596817016602,-10.917596817016602,-10.917596817016602,-10.917596817016602,-10.917596817016602
-10.979887008666992,-10.979887008666992,-10.979887008666992,-10.979887008666992,-10.979887008666992
