qr,qr,qr,qr,qr,qr,qr,qr,qr,qr,cayley
-384.2112731933594,-384.2112731933594,-384.2112731933594,-384.2112731933594,-384.2112731933594,-384.2112731933594,-384.2112731933594,-384.2112731933594,-384.2112731933594,-391.50482177734375,-459.4004211425781
-575.1473999023438,-575.1473999023438,-575.1473999023438,-575.1473999023438,-575.1473999023438,-575.1473999023438,-575.1473999023438,-575.1473999023438,-575.1473999023438,-402.10870361328125,-499.9988708496094
-722.1542358398438,-722.1542358398438,-722.1542358398438,-722.1542358398438,-722.1542358398438,-722.1542358398438,-722.1542358398438,-722.1542358398438,-722.1542358398438,-413.10040283203125,-537.2469482421875
-766.0033569335938,-766.0033569335938,-766.0033569335938,-766.0033569335938,-766.0033569335938,-766.0033569335938,-766.0033569335938,-766.0033569335938,-766.0033569335938,-424.47784423828125,-567.58935546875
-784.8222045898438,-784.8222045898438,-784.8222045898438,-784.8222045898438,-784.8222045898438,-784.8222045898438,-784.8222045898438,-784.8222045898438,-784.8222045898438,-436.2321472167969,-583.6201171875
-804.3946533203125,-804.3946533203125,-804.3946533203125,-804.3946533203125,-804.3946533203125,-804.3946533203125,-804.3946533203125,-804.3946533203125,-804.3946533203125,-448.3453674316406,-594.7711181640625
-815.033935546875,-815.033935546875,-815.033935546875,-815.033935546875,-815.033935546875,-815.033935546875,-815.033935546875,-815.033935546875,-815.033935546875,-460.7904357910156,-605.86328125
-817.8209838867188,-817.8209838867188,-817.8209838867188,-817.8209838867188,-817.8209838867188,-817.8209838867188,-817.8209838867188,-817.8209838867188,-817.8209838867188,-473.528564453125,-616.5322875976562
-820.696044921875,-820.696044921875,-820.696044921875,-820.696044921875,-820.696044921875,-820.696044921875,-820.696044921875,-820.696044921875,-820.696044921875,-486.5074768066406,-627.2230224609375
-825.380859375,-825.380859375,-825.380859375,-825.380859375,-825.380859375,-825.380859375,-825.380859375,-825.380859375,-825.380859375,-499.66070556640625,-637.79150390625
-830.5171508789062,-830.5171508789062,-830.5171508789062,-830.5171508789062,-830.5171508789062,-830.5171508789062,-830.5171508789062,-830.5171508789062,-830.5171508789062,-512.9078979492188,-646.2247314453125
-834.7604370117188,-834.7604370117188,-834.7604370117188,-834.7604370117188,-834.7604370117188,-834.7604370117188,-834.7604370117188,-834.7604370117188,-834.7604370117188,-526.1558837890625,-652.0353393554688
-837.712646484375,-837.712646484375,-837.712646484375,-837.712646484375,-837.712646484375,-837.712646484375,-837.712646484375,-837.712646484375,-837.712646484375,-539.3017578125,-656.9446411132812
-839.7421875,-839.7421875,-839.7421875,-839.7421875,-839.7421875,-839.7421875,-839.7421875,-839.7421875,-839.7421875,-552.2371826171875,-661.8760986328125
-841.4674682617188,-841.4674682617188,-841.4674682617188,-841.4674682617188,-841.4674682617188,-841.4674682617188,-841.4674682617188,-841.4674682617188,-841.4674682617188,-564.8531494140625,-666.63671875
-843.294921875,-843.294921875,-843.294921875,-843.294921875,-843.294921875,-843.294921875,-843.294921875,-843.294921875,-843.294921875,-577.0462036132812,-671.5062866210938
-845.2757568359375,-845.2757568359375,-845.2757568359375,-845.2757568359375,-845.2757568359375,-845.2757568359375,-845.2757568359375,-845.2757568359375,-845.2757568359375,-588.7257690429688,-676.8533325195312
-847.200927734375,-847.200927734375,-847.200927734375,-847.200927734375,-847.200927734375,-847.200927734375,-847.200927734375,-847.200927734375,-847.200927734375,-599.82080078125,-682.006103515625
-848.8108520507812,-848.8108520507812,-848.8108520507812,-848.8108520507812,-848.8108520507812,-848.8108520507812,-848.8108520507812,-848.8108520507812,-848.8108520507812,-610.2822265625,-686.0499267578125
-849.9871826171875,-849.9871826171875,-849.9871826171875,-849.9871826171875,-849.9871826171875,-849.9871826171875,-849.9871826171875,-849.9871826171875,-849.9871826171875,-620.082275390625,-689.1908569335938
-850.8099975585938,-850.8099975585938,-850.8099975585938,-850.8099975585938,-850.8099975585938,-850.8099975585938,-850.8099975585938,-850.8099975585938,-850.8099975585938,-629.2100830078125,-692.31591796875
-851.470947265625,-851.470947265625,-851.470947265625,-851.470947265625,-851.470947265625,-851.470947265625,-851.470947265625,-851.470947265625,-851.470947265625,-637.6676635742188,-695.7955932617188
-852.14208984375,-852.14208984375,-852.14208984375,-852.14208984375,-852.14208984375,-852.14208984375,-852.14208984375,-852.14208984375,-852.14208984375,-645.4664306640625,-699.473876953125
-852.8965454101562,-852.8965454101562,-852.8965454101562,-852.8965454101562,-852.8965454101562,-852.8965454101562,-852.8965454101562,-852.8965454101562,-852.8965454101562,-652.6256103515625,-702.9448852539062
-853.7044677734375,-853.7044677734375,-853.7044677734375,-853.7044677734375,-853.7044677734375,-853.7044677734375,-853.7044677734375,-853.7044677734375,-853.7044677734375,-659.1715698242188,-705.9671630859375
