cayley,cayley,cayley
-145.7265625,-253.3098602294922,-402.1513977050781
-231.93165588378906,-379.0818176269531,-375.0721130371094
-311.0397644042969,-496.5484313964844,-444.69110107421875
-338.8182373046875,-540.322265625,-471.23577880859375
-354.5622863769531,-568.1466674804688,-479.4577331542969
-367.0681457519531,-592.4976196289062,-487.72137451171875
-375.7815246582031,-611.7822875976562,-492.094482421875
-383.0787658691406,-629.3172607421875,-494.3200988769531
-388.9867858886719,-645.0946655273438,-496.0714111328125
-393.94317626953125,-659.48779296875,-497.52789306640625
-398.1598205566406,-672.7625122070312,-498.7237548828125
-401.83367919921875,-685.1477661132812,-499.7660217285156
-405.0747375488281,-696.7435913085938,-500.67303466796875
-407.9710693359375,-707.6431274414062,-501.49456787109375
-410.5824890136719,-717.897705078125,-502.2402038574219
-412.9559020996094,-727.5416870117188,-502.92572021484375
-415.12677001953125,-736.5950927734375,-503.5611877441406
-417.12408447265625,-745.0714111328125,-504.1529235839844
-418.9710388183594,-752.9798583984375,-504.7070007324219
-420.6866455078125,-760.3286743164062,-505.22796630859375
-422.2864990234375,-767.1265258789062,-505.71966552734375
-423.78387451171875,-773.3843383789062,-506.18524169921875
-425.1898193359375,-779.1156616210938,-506.62744140625
-426.513916015625,-784.3370361328125,-507.04864501953125
-427.7645568847656,-789.0684814453125,-507.4508361816406
-428.9488525390625,-793.3334350585938,-507.83587646484375
-430.0733337402344,-797.1578369140625,-508.2052917480469
-431.1438293457031,-800.5704956054688,-508.5604553222656
-432.1654357910156,-803.6021728515625,-508.90264892578125
-433.1427307128906,-806.2848510742188,-509.23291015625
-434.0799255371094,-808.6512451171875,-509.5522155761719
-434.9806823730469,-810.7341918945312,-509.8614196777344
-435.848388671875,-812.56591796875,-510.1612548828125
-436.6860656738281,-814.17724609375,-510.4523620605469
-437.4963073730469,-815.5977172851562,-510.7353515625
-438.28167724609375,-816.8544921875,-511.0107116699219
-439.0443115234375,-817.9724731445312,-511.2789001464844
-439.7862548828125,-818.9739990234375,-511.54034423828125
-440.5093688964844,-819.8787231445312,-511.79534912109375
-441.2153015136719,-820.7036743164062,-512.0443115234375
-441.90570068359375,-821.4632568359375,-512.2874145507812
-442.58203125,-822.1695556640625,-512.5250244140625
-443.2456359863281,-822.8324584960938,-512.7572021484375
-443.8978576660156,-823.4598388671875,-512.984130859375
-444.5400390625,-824.0581665039062,-513.2057495117188
-445.17327880859375,-824.6321411132812,-513.4212036132812
-445.7987976074219,-825.1856079101562,-513.62744140625
-446.41766357421875,-825.7214965820312,-513.8134765625
-447.0311279296875,-826.2418823242188,-513.9390258789062
-447.6401672363281,-826.74853515625,-513.8733520507812
-448.2458801269531,-827.2424926757812,-513.1488647460938
-448.8493347167969,-827.7249145507812,-511.24273681640625
-449.4514465332031,-828.1964721679688,-508.4861755371094
-450.0533752441406,-828.6578369140625,-512.1320190429688
-450.6560974121094,-829.109375,-514.607666015625
-451.2606201171875,-829.5515747070312,-515.1879272460938
-451.8680114746094,-829.9847412109375,-515.2509765625
-452.4791259765625,-830.4091796875,-515.5021362304688
-453.0950927734375,-830.8252563476562,-515.7723999023438
-453.71685791015625,-831.2330932617188,-515.9572143554688
-454.34552001953125,-831.6329345703125,-516.111572265625
-454.9819641113281,-832.0249633789062,-516.265869140625
-455.62725830078125,-832.4093627929688,-516.420166015625
-456.2825012207031,-832.7863159179688,-516.5706176757812
-456.9486389160156,-833.156005859375,-516.7164306640625
-457.626708984375,-833.5184936523438,-516.857177734375
-458.3179626464844,-833.8739624023438,-516.9893798828125
-459.0233154296875,-834.2225341796875,-517.1004028320312
-459.74395751953125,-834.5643920898438,-517.1478271484375
-460.4811096191406,-834.899658203125,-516.9893798828125
-461.2359924316406,-835.2284545898438,-516.2720947265625
-462.009765625,-835.5509033203125,-514.6414794921875
-462.8038330078125,-835.8672485351562,-514.37060546875
-463.6195373535156,-836.177490234375,-516.6097412109375
-464.45831298828125,-836.4818725585938,-517.8679809570312
-465.3216552734375,-836.780517578125,-517.8843383789062
-466.21112060546875,-837.0736083984375,-518.0350952148438
-467.1283874511719,-837.3612060546875,-518.2686767578125
-468.0751953125,-837.6435546875,-518.4091186523438
-469.0533752441406,-837.9207153320312,-518.5189819335938
-470.0647888183594,-838.1929321289062,-518.6360473632812
-471.1114807128906,-838.4602661132812,-518.7534790039062
-472.1954345703125,-838.722900390625,-518.8657836914062
-473.31890869140625,-838.98095703125,-518.9747924804688
-474.4841003417969,-839.2345581054688,-519.08203125
-475.6934509277344,-839.483642578125,-519.1880493164062
-476.94940185546875,-839.7276611328125,-519.2927856445312
-478.2545166015625,-839.9631958007812,-519.3964233398438
-479.6114807128906,-840.172119140625,-519.4988403320312
-481.0227355957031,-840.2579345703125,-519.6001586914062
-482.4891662597656,-839.7100219726562,-519.7003784179688
-484.0019226074219,-836.2814331054688,-519.799560546875
-485.4913635253906,-826.8077392578125,-519.8977661132812
-486.5181579589844,-829.48291015625,-519.994873046875
-484.98736572265625,-839.5838623046875,-520.0908203125
-480.2089538574219,-840.5646362304688,-520.1852416992188
-486.7101745605469,-840.557373046875,-520.2771606445312
-493.7071533203125,-841.61083984375,-520.3630981445312
-496.1758728027344,-841.9393310546875,-520.4320678710938
-497.9917297363281,-842.099609375,-520.4469604492188
-500.4179992675781,-842.3626098632812,-520.2908325195312
-502.98663330078125,-842.5805053710938,-519.5958251953125
-505.5008850097656,-842.75732421875,-517.8096313476562
-507.9442443847656,-842.9354858398438,-515.385986328125
-510.1956787109375,-843.112548828125,-516.2796630859375
-511.90673828125,-843.28369140625,-517.4173583984375
-513.1163330078125,-843.4505615234375,-517.8678588867188
-517.4483642578125,-843.61474609375,-519.7171020507812
-521.9225463867188,-843.776611328125,-520.9476928710938
-525.6491088867188,-843.9361572265625,-521.1030883789062
-529.0628051757812,-844.093505859375,-521.1964721679688
-532.5894775390625,-844.248779296875,-521.3694458007812
-536.300537109375,-844.4020385742188,-521.4901123046875
-540.1723022460938,-844.5534057617188,-521.5712890625
-544.1835327148438,-844.7028198242188,-521.650146484375
-548.3003540039062,-844.8502807617188,-521.7300415039062
-552.4432373046875,-844.9957275390625,-521.8069458007812
-556.4497680664062,-845.1386108398438,-521.8812255859375
-560.0615234375,-845.2780151367188,-521.9539184570312
-563.7105712890625,-845.4112548828125,-522.0254516601562
-568.5106201171875,-845.5323486328125,-522.0961303710938
-575.3162841796875,-845.6244506835938,-522.1660766601562
-581.94140625,-845.6539916992188,-522.2352294921875
-587.897705078125,-845.5236206054688,-522.3037719726562
-593.712890625,-845.17431640625,-522.3716430664062
-599.8025512695312,-844.4783325195312,-522.4389038085938
-606.4757080078125,-844.5523681640625,-522.5055541992188
-613.3524169921875,-844.9805297851562,-522.5716552734375
-620.3197021484375,-845.974609375,-522.63720703125
-627.3452758789062,-846.5070190429688,-522.7022094726562
-634.4825439453125,-846.7789306640625,-522.7666625976562
-641.7446899414062,-846.9324340820312,-522.8305053710938
-649.1099853515625,-847.0519409179688,-522.8936767578125
-656.4933471679688,-847.15966796875,-522.9559326171875
-663.7472534179688,-847.2532348632812,-523.0166015625
-670.571533203125,-847.3143920898438,-523.0741577148438
-677.173583984375,-847.2959594726562,-523.124267578125
-684.2786254882812,-847.0797729492188,-523.1552734375
-693.6928100585938,-846.4139404296875,-523.13427734375
-703.2288208007812,-844.92431640625,-522.974365234375
-711.96728515625,-843.0292358398438,-522.476318359375
-719.829833984375,-842.7369995117188,-521.476318359375
-727.54638671875,-845.3692626953125,-520.5966796875
-735.661376953125,-847.547119140625,-521.7017211914062
-744.120849609375,-848.1200561523438,-523.099853515625
-752.2592163085938,-848.0617065429688,-523.5474243164062
-759.9152221679688,-847.9697265625,-523.5474243164062
-767.1984252929688,-847.8826904296875,-523.6358642578125
-774.1738891601562,-847.627197265625,-523.7545776367188
-780.8309326171875,-847.5595092773438,-523.83251953125
-787.1036987304688,-847.5452270507812,-523.8892211914062
-792.8875122070312,-848.05810546875,-523.9447021484375
-797.9468994140625,-848.469970703125,-524.0011596679688
-802.1729125976562,-848.848388671875,-524.0559692382812
-805.5968017578125,-849.0743408203125,-524.1074829101562
-810.3314208984375,-849.2313232421875,-524.1538696289062
-815.8350219726562,-849.3473510742188,-524.1898803710938
-821.4154663085938,-849.4473876953125,-524.2020874023438
-825.6189575195312,-849.538818359375,-524.158935546875
-828.8812866210938,-849.6260375976562,-523.9903564453125
-831.62890625,-849.70947265625,-523.5844116210938
-834.0030517578125,-849.7898559570312,-522.8834228515625
-836.0159912109375,-849.865478515625,-522.408447265625
-837.6215209960938,-849.9359130859375,-522.791748046875
-838.9247436523438,-849.9959106445312,-523.9265747070312
-840.00439453125,-850.0435180664062,-524.5289916992188
-841.2899169921875,-850.0635375976562,-524.65087890625
-842.6370849609375,-850.0560302734375,-524.6808471679688
-843.9129638671875,-849.9824829101562,-524.748291015625
-844.9126586914062,-849.8885498046875,-524.8216552734375
-845.6480712890625,-849.7145385742188,-524.8801879882812
-846.2073364257812,-849.6884765625,-524.9285888671875
-846.6422729492188,-849.6666259765625,-524.9741821289062
-846.9865112304688,-849.8638305664062,-525.01953125
-847.254150390625,-849.9007568359375,-525.0645751953125
-847.4446411132812,-849.6891479492188,-525.10888671875
-847.5533447265625,-848.9059448242188,-525.1520385742188
-847.5404052734375,-847.3958740234375,-525.193115234375
-847.4071655273438,-846.3929443359375,-525.2295532226562
-847.0814819335938,-846.9066772460938,-525.2538452148438
-846.8189697265625,-849.3028564453125,-525.2452392578125
-846.6260375976562,-850.7913208007812,-525.1422119140625
-847.0701904296875,-851.20166015625,-524.8058471679688
-847.6301879882812,-851.2308349609375,-523.9557495117188
-848.2339477539062,-851.2625122070312,-523.00732421875
-848.543212890625,-851.3355102539062,-523.0138549804688
-848.61328125,-851.3943481445312,-524.81689453125
-848.5996704101562,-851.43359375,-525.4678955078125
-848.5814819335938,-851.43505859375,-525.443115234375
-848.7405395507812,-851.4326782226562,-525.527099609375
-849.0032958984375,-851.3958740234375,-525.6483764648438
-849.3482666015625,-851.4009399414062,-525.7124633789062
-849.6528930664062,-851.3922119140625,-525.7523193359375
-849.9000854492188,-851.481689453125,-525.7943115234375
-850.0879516601562,-851.5669555664062,-525.8375854492188
-850.2381591796875,-851.7271728515625,-525.878662109375
-850.3643188476562,-851.8577880859375,-525.917724609375
-850.4769897460938,-852.0033569335938,-525.955322265625
-850.58056640625,-852.113525390625,-525.991943359375
-850.67822265625,-852.218505859375,-526.0274047851562
-850.7704467773438,-852.3001708984375,-526.0613403320312
-850.8580322265625,-852.37744140625,-526.093017578125
-850.9396362304688,-852.440185546875,-526.1212158203125
-851.014892578125,-852.5007934570312,-526.1431274414062
-851.080322265625,-852.5497436523438,-526.1550903320312
-851.134521484375,-852.5972290039062,-526.14794921875
-851.1700439453125,-852.63134765625,-526.1118774414062
-851.1851196289062,-852.6633911132812,-526.0211181640625
-851.1658935546875,-852.6756591796875,-525.872802734375
-851.116943359375,-852.681640625,-525.642578125
-851.015380859375,-852.6480712890625,-525.4639892578125
-850.880859375,-852.5772705078125,-525.3692626953125
-850.64697265625,-852.3818969726562,-525.4690551757812
-850.3261108398438,-851.9633178710938,-525.4718017578125
-849.7515258789062,-851.1248779296875,-525.215087890625
-849.3233032226562,-849.6519165039062,-525.0588989257812
-849.0936889648438,-848.6188354492188,-525.224365234375
-850.022705078125,-848.66064453125,-525.9307250976562
-851.01318359375,-850.9180908203125,-526.4221801757812
-851.825927734375,-852.5367431640625,-526.616943359375
-852.1984252929688,-853.150146484375,-526.6632080078125
-852.3491821289062,-853.2660522460938,-526.696533203125
-852.4276123046875,-853.3069458007812,-526.739501953125
-852.4945068359375,-853.3893432617188,-526.7805786132812
-852.5572509765625,-853.4722900390625,-526.8143920898438
-852.616455078125,-853.5501708984375,-526.8425903320312
-852.6663208007812,-853.608154296875,-526.8658447265625
-852.708984375,-853.6617431640625,-526.8848266601562
-852.7384643554688,-853.7022705078125,-526.895263671875
-852.7607421875,-853.74365234375,-526.8960571289062
-852.7675170898438,-853.7738037109375,-526.8737182617188
-852.7735595703125,-853.8079833984375,-526.8318481445312
-852.7694702148438,-853.8310546875,-526.7391967773438
-852.7850952148438,-853.8626098632812,-526.6517944335938
-852.8070678710938,-853.884033203125,-526.53125
-852.8703002929688,-853.9204711914062,-526.58056640625
-852.9467163085938,-853.9487915039062,-526.6835327148438
-853.0554809570312,-853.9972534179688,-526.9214477539062
-853.1603393554688,-854.0386962890625,-527.0926513671875
-853.26904296875,-854.0999145507812,-527.1984252929688
-853.3564453125,-854.1527709960938,-527.2494506835938
-853.4276733398438,-854.219970703125,-527.2772827148438
-853.46630859375,-854.276611328125,-527.2957153320312
-853.4658203125,-854.3414916992188,-527.3058471679688
-853.40576171875,-854.394775390625,-527.3025512695312
-853.2467651367188,-854.451904296875,-527.272705078125
-852.9859619140625,-854.4967651367188,-527.1982421875
-852.5587768554688,-854.5409545898438,-527.04296875
-852.2225341796875,-854.5676879882812,-526.8002319335938
-851.9775390625,-854.5796508789062,-526.4869995117188
-852.3460083007812,-854.5453491210938,-526.35986328125
-852.8462524414062,-854.4269409179688,-526.547119140625
-853.396728515625,-854.128662109375,-527.037109375
-853.7266845703125,-853.4451904296875,-527.411865234375
-853.8883056640625,-852.31689453125,-527.5673217773438
-853.986083984375,-850.6265258789062,-527.6049194335938
-854.0540771484375,-850.5117797851562,-527.62353515625
-854.1356201171875,-851.4938354492188,-527.6468505859375
-854.2109985351562,-853.6010131835938,-527.6688232421875
-854.29541015625,-854.6329956054688,-527.6825561523438
-854.368408203125,-854.889892578125,-527.6798706054688
-854.4419555664062,-854.9307861328125,-527.651123046875
-854.50244140625,-854.9757080078125,-527.5692749023438
-854.56103515625,-855.0576171875,-527.4168701171875
-854.607666015625,-855.1339111328125,-527.1331176757812
-854.6527099609375,-855.2064819335938,-526.8483276367188
-854.686767578125,-855.263427734375,-526.5949096679688
-854.720703125,-855.3173828125,-526.8618774414062
-854.7442626953125,-855.3611450195312,-527.284423828125
-854.7705078125,-855.4044189453125,-527.7154541015625
-854.7877807617188,-855.439697265625,-527.90869140625
-854.8126220703125,-855.4755249023438,-527.96240234375
-854.831298828125,-855.5042114257812,-527.9761352539062
-854.8635864257812,-855.534423828125,-527.987548828125
-854.892578125,-855.5582885742188,-527.9948120117188
-854.9380493164062,-855.5855102539062,-527.9894409179688
-854.9797973632812,-855.6075439453125,-527.9545288085938
-855.0339965820312,-855.6356811523438,-527.8843994140625
-855.0784912109375,-855.6602172851562,-527.7391357421875
-855.1229248046875,-855.693359375,-527.5780029296875
-855.1394653320312,-855.7242431640625,-527.377197265625
-855.118896484375,-855.764404296875,-527.4351196289062
-854.9944458007812,-855.80224609375,-527.6221313476562
-854.6911010742188,-855.84765625,-527.9110107421875
-854.0133666992188,-855.8892211914062,-528.0582275390625
-853.044189453125,-855.934814453125,-528.0675659179688
-852.0225830078125,-855.973876953125,-527.999755859375
-852.5545043945312,-856.0115356445312,-527.90576171875
-853.7910766601562,-856.035888671875,-527.8229370117188
-854.973388671875,-856.04345703125,-527.8020629882812
-855.415771484375,-856.0093994140625,-527.8662719726562
-855.4940185546875,-855.8908081054688,-528.007568359375
-855.5029907226562,-855.6083374023438,-528.1435546875
-855.5376586914062,-854.9608154296875,-528.2525634765625
-855.5784301757812,-853.9238891601562,-528.3214721679688
-855.63232421875,-852.2969360351562,-528.3701782226562
-855.6799926757812,-852.086181640625,-528.40625
-855.736572265625,-852.7744140625,-528.43603515625
-855.7860107421875,-854.8499755859375,-528.4608154296875
-855.8410034179688,-855.954833984375,-528.4824829101562
-855.8870849609375,-856.2929077148438,-528.5010375976562
-855.9352416992188,-856.34521484375,-528.51708984375
-855.9734497070312,-856.3781127929688,-528.5299682617188
-856.0120239257812,-856.4396362304688,-528.5392456054688
-856.0405883789062,-856.5057373046875,-528.5429077148438
-856.0689697265625,-856.5672607421875,-528.5393676757812
-856.0872192382812,-856.6187133789062,-528.5239868164062
-856.104736328125,-856.6636352539062,-528.4937133789062
-856.1102905273438,-856.701904296875,-528.4400024414062
-856.1115112304688,-856.7361450195312,-528.3639526367188
-856.09228515625,-856.7657470703125,-528.260009765625
-856.0521240234375,-856.7924194335938,-528.1589965820312
-855.9631958007812,-856.815673828125,-528.069580078125
-855.8026733398438,-856.8370361328125,-528.0459594726562
-855.5422973632812,-856.8565673828125,-528.0235595703125
-855.1648559570312,-856.8756103515625,-527.9928588867188
-854.818359375,-856.8951416015625,-527.8251953125
-854.6278076171875,-856.9160766601562,-527.7559814453125
-854.8936767578125,-856.9398803710938,-527.754150390625
-855.3805541992188,-856.9664916992188,-528.150634765625
-855.9024047851562,-856.9972534179688,-528.5149536132812
-856.256103515625,-857.030517578125,-528.7682495117188
-856.4461059570312,-857.0672607421875,-528.8629150390625
-856.5484619140625,-857.1046142578125,-528.8895874023438
-856.6060791015625,-857.1436157226562,-528.9027099609375
-856.6503295898438,-857.1808471679688,-528.91650390625
-856.683349609375,-857.218017578125,-528.930419921875
-856.7142944335938,-857.2515869140625,-528.9408569335938
-856.7385864257812,-857.2835083007812,-528.9467163085938
-856.7628173828125,-857.3094482421875,-528.94384765625
-856.7820434570312,-857.330078125,-528.9327392578125
-856.8028564453125,-857.3360595703125,-528.9029541015625
-856.820556640625,-857.319091796875,-528.8634643554688
-856.841552734375,-857.2434692382812,-528.7939453125
-856.8607788085938,-857.05615234375,-528.7462158203125
-856.8837280273438,-856.5899047851562,-528.690185546875
-856.904296875,-855.7159423828125,-528.7384033203125
-856.9251098632812,-854.0297241210938,-528.8064575195312
-856.93701171875,-852.9617309570312,-528.9359741210938
-856.93603515625,-852.6023559570312,-529.0307006835938
-856.903076171875,-855.0946655273438,-529.09814453125
-856.8134765625,-856.7612915039062,-529.13134765625
-856.6219482421875,-857.4258422851562,-529.1426391601562
-856.26953125,-857.5244750976562,-529.13232421875
-855.7626953125,-857.55078125,-529.0930786132812
-855.2216186523438,-857.6090087890625,-529.0042114257812
-855.0785522460938,-857.6836547851562,-528.8394775390625
-855.4271240234375,-857.7456665039062,-528.5687866210938
-856.1087036132812,-857.7970581054688,-528.260498046875
-856.6876220703125,-857.833984375,-528.0692749023438
-857.0225219726562,-857.8659057617188,-528.29052734375
-857.1900634765625,-857.888427734375,-528.740478515625
-857.2771606445312,-857.909423828125,-529.1326293945312
-857.33544921875,-857.92236328125,-529.2887573242188
-857.3807983398438,-857.936279296875,-529.3212280273438
-857.4177856445312,-857.9429931640625,-529.3322143554688
-857.4488525390625,-857.9544677734375,-529.3487548828125
-857.4740600585938,-857.96044921875,-529.3673095703125
-857.4955444335938,-857.976318359375,-529.3834228515625
-857.512451171875,-857.9886474609375,-529.3955688476562
-857.5277099609375,-858.0147094726562,-529.4033203125
-857.5401611328125,-858.03759765625,-529.4048461914062
-857.5538940429688,-858.0737915039062,-529.3975830078125
-857.5669555664062,-858.1044311523438,-529.3742065429688
